Id,Data,Nick,Pasek,Autor,Tytuł,Gatunek,Ocena
50418491,2020-06-29 23:23:18,thekes,różowy,Aleksandra Lipczak,Ludzie z Placu Słońca,,3
50418113,2020-06-29 23:04:28,ialath,niebieski,Alex Michaelides,Pacjentka,kryminał psychologiczny,7
50410841,2020-06-29 19:15:29,robertvu,niebieski,Jonathan Littell,Łaskawe,powieść historyczna,8
50410841,2020-06-29 19:15:29,robertvu,niebieski,Gene Wolfe,Cień Kata,fantastyka,5
50410843,2020-06-29 19:15:28,BrakPomysluNaNick,niebieski,Jon Krakauer,Pod sztandarem nieba. Wiara która zabija,literatura faktu,10
50410775,2020-06-29 19:13:11,leuler,niebieski,Richard P. Feynman,"A co ciebie obchodzi, co myślą inni? Dalsze przypadki ciekawego człowieka.","biografia, pamiętnik",8
50409753,2020-06-29 18:26:49,ladyVimes,różowy,"Adam Bodnar, Bartosz Bartosik",Obywatel PL,literatura faktu,
50401805,2020-06-29 11:47:13,Dziadekmietek,niebieski,Molier,Don Juan,komedia,6
50396035,2020-06-29 03:25:35,BrakPomysluNaNick,niebieski,Margaret Atwood,Oryks i Derkacz,sf postapo,7
50396035,2020-06-29 03:25:35,BrakPomysluNaNick,niebieski,John Elder Robinson,Patrz mi w oczy. Moje życie z zespołem Aspergera,autobiografia,6
50396035,2020-06-29 03:25:35,BrakPomysluNaNick,niebieski,Andrzej Ziemiański,Zapach szkła,opowiadania sf,2
50396035,2020-06-29 03:25:35,BrakPomysluNaNick,niebieski,Robert J. Szmidt,Apokalipsa według Pana Jana,sf postapo,6
50380595,2020-06-28 19:41:07,Tosiek14,niebieski,John Steinbeck,Była raz wojna. Bomby poszły,Literatura piękna,6
50378617,2020-06-28 18:38:39,leuler,niebieski,"Gene Stone, Michael Greger",Jak nie umrzeć przedwcześnie. Cała prawda o zdrowym żywieniu,Poradnik,8
50377531,2020-06-28 18:06:20,Vivec,,R.A. Lafferty,The Collected Short Fiction tomy 1-4,Fantastyka,9
50376419,2020-06-28 17:26:10,DerMirker,niebieski,Filip Springer,Źle urodzone,literatura faktu / reportaż,9
50371963,2020-06-28 14:06:08,konik_polanowy,niebieski,Michał Klimecki,"Pekin, Szanghaj, Nankin 1937-1945",historia,6
50369789,2020-06-28 12:46:23,Katsukyun,niebieski,Wilfried Koch,Style w architekturze,sztuka,5
50357235,2020-06-27 21:42:48,Dziadekmietek,niebieski,Gaston Leroux,Upiór opery (Upiór w operze),powieść gotycka / thriller,8
50355347,2020-06-27 20:19:30,thekes,różowy,Charlie LeDuff,"Shitshow! Ameryka się sypie, a oglądalności szybuje.",,9
50354707,2020-06-27 19:57:49,Ludzik19,niebieski,Kim Stanley Robinson,Red Moon (1),Sci-Fi,7
50354707,2020-06-27 19:57:49,Ludzik19,niebieski,Kim Stanley Robinson,The Martians (1),Sci-Fi,8
50354707,2020-06-27 19:57:49,Ludzik19,niebieski,Dan Simmons,"Hyperion, Updaek Hyperiona, Endymion, Triumf Endymiona (4)",Sci-Fi,8
50354707,2020-06-27 19:57:49,Ludzik19,niebieski,Robert Silverberg,Skrzydła nocy (1),Sci-Fi,8
50354707,2020-06-27 19:57:49,Ludzik19,niebieski,Walter Tevis,"Człowiek, który upadł na ziemię (1)",Sci-Fi,8
50354707,2020-06-27 19:57:49,Ludzik19,niebieski,Orson Scott Card,"Przygotowania, The Hive (druga wojna z formidami) (2)",Sci-Fi,8
50354707,2020-06-27 19:57:49,Ludzik19,niebieski,Orson Scott Card,Children of Fleet (1),Sci-Fi,7
50354707,2020-06-27 19:57:49,Ludzik19,niebieski,Orson Scott Card,"Pamięć Ziemi, Wezwanie Ziemi, Statki Ziemi, Odrodzenie Ziemi, Dzieci Ziemi (5)",Sci-Fi,7
50354707,2020-06-27 19:57:49,Ludzik19,niebieski,Andy Weir,Artemis (1),Sci-Fi,7
50354707,2020-06-27 19:57:49,Ludzik19,niebieski,Carlo Rovelli,"Rzeczywistość nie jest tym, czym się wydaje (1)",Popularnonaukowa,9
50354707,2020-06-27 19:57:49,Ludzik19,niebieski,Neil deGrasse Tyson,Astrofizyka dla zabieganych (1),Popularnonaukowa,4
50354707,2020-06-27 19:57:49,Ludzik19,niebieski,Liao Yiwu,Prowadząc umarłych (1),Reportaż,9
50354707,2020-06-27 19:57:49,Ludzik19,niebieski,Neal Stephenson,7EW (1),Sci-Fi,4
50348707,2020-06-27 14:16:19,Katsukyun,niebieski,Andrzej Sapkowski,Sezon Burz,fantasy,8
50327453,2020-06-26 16:19:25,MartinMartinez,niebieski,Tomasz Lis,Historia prywatna,Biografia/wspomnienia,7
50326035,2020-06-26 14:46:23,Dziadekmietek,niebieski,Władysław Grabski,Dwa lata pracy u podstaw państwowości naszej (1924-1925),wspomnienia,4
50322363,2020-06-26 10:35:32,DerMirker,niebieski,Marta Wyka,Krakowskie dziecko,wspomnienia,3
50308469,2020-06-25 17:52:31,anthoris,,Dale Carnegie,Jak przestać się martwić i zacząć żyć,poradnik,4
50306967,2020-06-25 16:13:06,kulfon_wulkanizator,niebieski,Andrzej Pilipiuk,Upiór w Ruderze,fantasy,3
50301137,2020-06-25 09:54:06,a231,niebieski,Małgorzata Sidz,"Kocie chrzciny, Lato i zima w Finlandii",Reportaż,
50301137,2020-06-25 09:54:06,a231,niebieski,Andrzej Sapkowski,Narrenturm,Fantasy historyczne,
50300545,2020-06-25 09:09:29,ostoja,niebieski,Łukasz Lamża,"Światy równoległe. Czego uczą nas płaskoziemcy, homeopaci i różdżkarze",literatura faktu,6
50294495,2020-06-24 23:01:53,DerMirker,niebieski,Dominik Szczepański,Czapkins. Prawdziwa historia Tomka Mackiewicza,"górska, biografia",8
50277131,2020-06-24 08:38:55,Miszcz_Joda,niebieski,"Jankowska Agata , Pozdał Michał",Męskie sprawy,Rozwój osobisty,5
50273935,2020-06-24 00:10:08,konik_polanowy,niebieski,Zbigniew Lew-Starowicz,O kobiecie,psychologia,3
50270059,2020-06-23 20:49:14,0twierac2,niebieski,Adam Robiński,Hajstry. Krajobraz bocznych dróg,reportaż poetycki (?),6
50267663,2020-06-23 19:38:51,szaloneneutrino,niebieski,Cezary Głuch,Inteligentny Inwestor XXI wieku. Tom 1-4,poradnik,10
50264339,2020-06-23 16:13:53,panpikuss,niebieski,Jo Nesbo,Więcej krwi,kryminał,7
50240055,2020-06-22 11:17:06,DerMirker,niebieski,Jerzy Orwell,Folwark zwierzęcy,proza,9
50231687,2020-06-21 22:00:08,panpikuss,niebieski,Wojciech Chmielarz,Farma lalek,kryminał,7
50225627,2020-06-21 17:54:12,Dziadekmietek,niebieski,Marek Aureliusz,Rozmyślania,traktat filozoficzny,
50225591,2020-06-21 17:52:52,Vivec,,Matt Parker,Humble Pi: A Comedy of Maths Errors,Non fiction,7
50225411,2020-06-21 17:43:34,Sqbfd,niebieski,Antoni Libera,Madame,literatura piękna,8
50223369,2020-06-21 15:44:38,Katsukyun,niebieski,Haruki Murakami,"O czym mówię, kiedy mówię o bieganiu","autobiografia, biografia, pamiętnik",8
50218773,2020-06-21 10:20:54,haliczka,różowy,Jane Austen,Rozważna i romantyczna,powieść,7
50218131,2020-06-21 09:09:37,Katsukyun,niebieski,Andrzej Sapkowski,Pani Jeziora,fantasy,8
50209183,2020-06-20 21:34:55,Sqbfd,niebieski,Stephen King,Instytut,Horror (?),7
50208947,2020-06-20 21:24:03,thekes,różowy,Remigiusz Mróz,Wyrok,,1
50206351,2020-06-20 19:44:08,konik_polanowy,niebieski,"Patrick Robinson, Marcus Luttrell",Przetrwałem Afganistan,wspomnienia,5
50197663,2020-06-20 11:06:22,Wypok2,,Yann Martel,Życie Pi,powieść przygodowa,6
50179335,2020-06-19 14:30:52,DerMirker,niebieski,Lidia Ostałowska,Bolało jeszcze bardziej,literatura faktu / reportaż,8
50170261,2020-06-18 23:56:09,konik_polanowy,niebieski,Zbigniew Lew-Starowicz,O mężczyźnie,psychologia,6
50166853,2020-06-18 21:25:49,Dziadekmietek,niebieski,Lyman Frank Baum,Czarnoksiężnik z krainy OZ,powieść dla dzieci,9
50158515,2020-06-18 14:16:21,yeron,niebieski,Ian Morris,"Why the West Rules—for Now: The Patterns of History, and What They Reveal About the Future",historia,
50154105,2020-06-18 09:02:14,ostoja,niebieski,"Piotr Trybalski, Leszek Cichy",Gdyby to nie był Everest...,literatura podróżnicza,8
50128617,2020-06-17 20:06:26,DJtomex,niebieski,Neil deGrasse Tyson,Kosmiczne zachwyty,popularnonaukowa,4
50125143,2020-06-17 17:15:59,LebronAntetokounmpo,niebieski,Janusz Rolicki,Lepsi od Pana Boga. Reportaże z Polski Ludowej,zbiór reportaży,7
50124277,2020-06-17 16:16:24,DerMirker,niebieski,Paweł Majka,Dzielnica obiecana,fantastyka,5
50118171,2020-06-17 09:07:25,vivianka,różowy,Remigiusz Mróz,Ekstradycja,,8
50104391,2020-06-16 17:28:15,SweetStud,niebieski,Stephen King,Lśnienie,Horror,10
50104391,2020-06-16 17:28:15,SweetStud,niebieski,Andrzej Sapkowski,Wiedźmin Krew Elfów,Fantasy,6
50104391,2020-06-16 17:28:15,SweetStud,niebieski,Tom Phillips,"Ludzie. Krótka historia o tym, jak spieprzyliśmy wszystko",Popularnonaukowa,7
50088313,2020-06-15 20:35:23,DoubleM,niebieski,Rick Riordan,Mroczna przepowiednia (Cykl ToA),Fantastyka młodzieżowa,8
50083319,2020-06-15 16:53:54,panpikuss,niebieski,Jo Nesbo,Krew na śniegu,kryminał,6
50069403,2020-06-14 21:23:22,Wypok2,,Daniel Keyes,Kwiaty dla Algernona,fantastyka naukowa,9
50069275,2020-06-14 21:16:11,thekes,różowy,Liane Moriarty,"""Dziewięcioro nieznajomych""",,7
50063687,2020-06-14 17:41:19,Katsukyun,niebieski,Paulo Coelho,Jedenaście minut,literatura piękna,7
50062763,2020-06-14 16:49:12,szaloneneutrino,niebieski,Theodore Kaczynski,Industrial Society and Its Future,manifest polityczny,
50044461,2020-06-13 20:26:12,Katsukyun,niebieski,Andrzej Sapkowski,Wieża Jaskółki,fantasy,8
50039497,2020-06-13 16:11:24,konik_polanowy,niebieski,Adam Józefiok,Security CCNA 210-260. Zostań administratorem sieci komputerowych Cisco,informatyka,7
50036093,2020-06-13 12:19:01,konik_polanowy,niebieski,Jarosław Wojtczak,Wojna meksykańska 1861-1867,historia,8
50018997,2020-06-12 14:27:05,Dziadekmietek,niebieski,Marek S. Huberath,Gniazdo światów,fantastyka,8
50018997,2020-06-12 14:27:05,Dziadekmietek,niebieski,Ernest Hemingway,Stary człowiek i morze,nowela,3
50017905,2020-06-12 13:06:00,LebronAntetokounmpo,niebieski,Oriana Fallaci,Wywiad z władzą,zbiór wywiadów,9
49996943,2020-06-11 14:20:45,Bakys,niebieski,Jo Nesbø,Syn,kryminał,6
49993895,2020-06-11 10:44:55,DJtomex,niebieski,Amin Maalouf,Wyprawy krzyżowe w oczach Arabów,historia,7
49993119,2020-06-11 09:38:54,kulfon_wulkanizator,niebieski,George Orwell,Rok 1984,literatura piękna,9
49966329,2020-06-09 21:49:48,ialath,niebieski,Marc-Uwe Kling,QualityLandia,"fantastyka socjologiczna, sci-fi",10
49964893,2020-06-09 20:58:11,MartinMartinez,niebieski,Bret Easton Ellis,American Psycho,literatura piękna,8
49960791,2020-06-09 18:30:42,ialath,niebieski,Alek Rogoziński,Ukochany z piekła rodem,"komedia, kryminał",7
49939877,2020-06-08 17:00:20,panpikuss,niebieski,Alicja Sinicka,Stażystka,thriller/tani erotyk?,5
49939819,2020-06-08 16:56:07,leuler,niebieski,Jakub Żulczyk,Ślepnąc od świateł,literatura piękna,5
49938361,2020-06-08 15:21:14,DerMirker,niebieski,Ryszard Sławecki,Manewr który ocalił Kraków,historyczna,1
49933353,2020-06-08 09:43:32,Dziadekmietek,niebieski,Ernest Hemingway,Komu bije dzwon,powieść,7
49927977,2020-06-07 22:54:34,konik_polanowy,niebieski,Zbigniew Flisowski,Bitwy w mroku,historia,8
49921475,2020-06-07 18:13:14,Vivec,,Spiro Kostoff,The City Shaped: Urban Patterns and Meanings Through History,Non fiction,9
49915923,2020-06-07 12:32:40,konik_polanowy,niebieski,Piotr Langenfeld,Afganistan. Dotknąłem wojny,historia,8
49913747,2020-06-07 09:46:54,Katsukyun,niebieski,Nancy H. Kleinbaum,Stowarzyszenie umarłych poetów,literatura piękna,6
49898559,2020-06-06 17:58:41,haussbrandt,niebieski,Bill Bryson,A Walk in the Woods: Rediscovering America on the Appalachian Trail,"nonfiction, podróżnicza",7
49897917,2020-06-06 17:30:58,Katsukyun,niebieski,Andrzej Sapkowski,Chrzest ognia,fantasy,8
49894951,2020-06-06 14:20:46,celulozy,niebieski,Hanna Krall,Sześć odcieni bieli,reportaż,6
49894693,2020-06-06 14:02:29,haliczka,różowy,Lucy Maud Montgomery,Ania z Avonlea,literatura dziecięca/młodzieżowa,7
49893447,2020-06-06 12:24:02,DoubleM,niebieski,Rick Riordan,Ukryta Wyrocznia (Cykl ToA),Fantastyka młodzieżowa,8
49893245,2020-06-06 12:10:49,cyberpunkowy_neuromantyk,niebieski,Marcin Sergiusz Przybyłek,„Symfonia życia”,powieść obyczajowa? (nie jestem do końca pewien),
49887333,2020-06-06 00:20:40,Jeloops,różowy,Stephen Chbosky,The perks of being a wallflower,młodzieżowa,8
49877471,2020-06-05 15:27:57,vivianka,różowy,Elena Ferrante,Historia nowego nazwiska,,8
49875957,2020-06-05 13:42:33,DerMirker,niebieski,Łukasz Lamża,"Światy równoległe. Czego uczą nas płaskoziemcy, homeopaci i różdżkarze",literatura faktu,7
49867381,2020-06-04 23:20:43,LebronAntetokounmpo,niebieski,Paweł Kapusta,Agonia,reportaż,7
49867347,2020-06-04 23:18:39,Jeloops,różowy,"Waris Dirie, Cathleen Miller",Kwiat pustyni,literatura faktu,7
49861649,2020-06-04 18:53:35,konik_polanowy,niebieski,Józef Wiesław Dyskant,Madagaskar 1942,historia,8
49860447,2020-06-04 17:33:43,kulfon_wulkanizator,niebieski,"Brian Herbert, Kevin J. Anderson",Nawigatorzy Diuny,SF,7
49855597,2020-06-04 12:54:24,maly1234,niebieski,Jozef Karika,Strach,"horror, trochę science fiction",8
49853427,2020-06-04 10:53:53,stefan1995,niebieski,George R.R. Martin,Uczta dla wron: Cienie śmierci,"fantastyka, fantasy, science fiction",7
49848569,2020-06-04 00:49:56,ialath,niebieski,Baoshu,Odzyskanie czasu,sci-fi,7
49825431,2020-06-02 21:17:01,upanddawn,niebieski,Brandon Sanderson,Droga Królów,fantasy,
49818555,2020-06-02 15:31:24,vivianka,różowy,Elena Ferrante,Genialna przyjaciółka,literatura piękna,8
49814095,2020-06-02 10:28:48,panpikuss,niebieski,Piotr Borlik,Boska proporcja,kryminał,6
49803525,2020-06-01 19:36:17,porucznik_franek,niebieski,Gustave Le Bon,Psychologia tłumu,nauki społeczne,7
49800797,2020-06-01 16:35:23,Wiedmolol,niebieski,Wildbow / J.C. McCrae,Worm,Urban fantasy,10
49797847,2020-06-01 13:12:23,DerMirker,niebieski,Aleksander Sołżynicyn,Jeden dzień Iwana Denisowicza,Opowiadanie,8
49782835,2020-05-31 19:12:47,ranunculus,niebieski,Carl Chinn,Peaky Blinders. Prawdziwa historia słynnych gangów Birminghamu,literatura faktu/historia,6
49780831,2020-05-31 17:50:56,Vivec,,Rudyard Kipling,Księga dżungli,Zbiór opowiadań,9
49778145,2020-05-31 15:45:52,Katsukyun,niebieski,Jostein Gaarder,Świat Zofii,literatura piękna,7
49776511,2020-05-31 14:14:42,LebronAntetokounmpo,niebieski,"Jerzy Urban, Marta Stremecka",Jerzy Urban,"wywiad rzeka, biografia polityczna",8
49774337,2020-05-31 12:07:09,konik_polanowy,niebieski,Rafał Gan-Ganowicz,Kondotierzy,historia,8
49759969,2020-05-30 20:10:38,panpikuss,niebieski,Brandon Sanderson,Słowa Światłości,fantasy,8
49741337,2020-05-29 20:38:28,ialath,niebieski,Robert Jordan,Wielkie polowanie. Koło Czasu: Tom 2,fantastyka,8
49737773,2020-05-29 18:48:08,MartinMartinez,niebieski,"Krzysztof Pyzia, Jerzy Dziewulski",Jerzy Dziewulski o polskiej policji,literatura faktu,7
49720889,2020-05-28 20:04:35,konik_polanowy,niebieski,Kamil Janicki,Pijana wojna. Alkohol podczas II wojny światowej,historia,7
49710309,2020-05-28 08:43:55,Katsukyun,niebieski,Andrzej Sapkowski,Czas pogardy,fantasy,8
49702445,2020-05-27 21:23:24,porucznik_franek,niebieski,Brittany Kaiser,Dyktatura danych,literatura faktu,6
49699027,2020-05-27 19:30:02,panpikuss,niebieski,Izabela Janiszewska,Wrzask,kryminał,5
49698909,2020-05-27 19:24:22,ranunculus,niebieski,Jonathan Wilson,Aniołowie o brudnych twarzach,Literatura faktu/sport,8
49689553,2020-05-27 09:53:54,DerMirker,niebieski,Aleksander Sołżynicyn,Archipelag GUŁag,historia / literatura faktu,10
49674003,2020-05-26 16:35:36,mrnlkhlk,niebieski,James Frey,Ostatni testament,Fantastyka,8
49669113,2020-05-26 10:55:53,Katsukyun,niebieski,Haruki Murakami,Bezbarwny Tsukuru Tazaki i lata jego pielgrzymstwa,literatura piękna,10
49660515,2020-05-25 20:52:33,maly1234,niebieski,Nelle Harper Lee,Zabić drozda,literatura piękna,5
49660213,2020-05-25 20:36:41,haussbrandt,niebieski,Charles Petzold,Code: The Hidden Language of Computer Hardware and Software,"non-fiction, popularnonaukowa",9
49656563,2020-05-25 17:48:17,leuler,niebieski,Michał Szafrański,"Zaufanie, czyli waluta przyszłości. Moja droga od zera do 7 milionów z bloga",poradnik,7
49654015,2020-05-25 14:58:42,Katsukyun,niebieski,Andrzej Sapkowski,Krew Elfów,fantasy,8
49650531,2020-05-25 10:53:43,lsamuel,niebieski,Tom Phillips,Ludzie. Krótka historia o tym jak spieprzyliśmy wszystko.,Popularnonaukowa,7
49649243,2020-05-25 08:58:02,Velixowski,niebieski,J.D Salinger,Buszujący w zbożu,Literatura piękna,6
49641707,2020-05-24 21:28:17,Tosiek14,niebieski,Margaret Atwood,Testamenty,Powieść,8
49637401,2020-05-24 19:21:56,panpikuss,niebieski,Shari Lapena,Niechciany gość,thriller,5
49637093,2020-05-24 19:03:31,LebronAntetokounmpo,niebieski,Olga Tokarczuk,Bieguni,literatura piękna,8
49636791,2020-05-24 18:45:39,haliczka,różowy,Bill Bryson,Krótka historia prawie wszystkiego,literatura popularnonaukowa,6
49636027,2020-05-24 17:55:23,Vivec,,Simon Winchester,"The Professor and the Madman: A Tale of Murder, Insanity and the Making of the Oxford English Dictionary",Historyczna,6
49632157,2020-05-24 13:34:10,konik_polanowy,niebieski,Kłosowicz Robert,Inczhon-Seul 1950,historia,5
49607091,2020-05-23 09:21:14,kulfon_wulkanizator,niebieski,Andy Weir,Marsjanin,SF,9
49589677,2020-05-22 16:03:14,Katsukyun,niebieski,Haruki Murakami,Norwegian Wood,literatura piękna,9
49581813,2020-05-22 02:38:10,Velixowski,niebieski,Joseph Heller,Paragraf 22,Literatura piekna,9
49577143,2020-05-21 22:01:17,Bakys,niebieski,Stephen King,Mroczna Wieża II Powołanie Trójki,fantasy,6
49575853,2020-05-21 20:57:57,panpikuss,niebieski,Henryk Sienkiewicz,Ogniem i mieczem,powieść historyczna,8
49574257,2020-05-21 19:58:12,konik_polanowy,niebieski,Grzegorz Swoboda,Dublin 1916,historia,8
49572549,2020-05-21 19:18:49,leuler,niebieski,"Jerzy Vetulani, Marcin Rotkiewicz",Mózg i błazen. Rozmowa z Jerzym Vetulanim,biografia,8
49571029,2020-05-21 17:53:22,stefan1995,niebieski,Andrzej Sapkowski,Krew elfów,"fantastyka, fantasy, science fiction",9
49567539,2020-05-21 13:46:29,Sindarin,niebieski,Terry Pratchett,Straż! Straż!,fantastyka,8
49565087,2020-05-21 11:10:38,Dziadekmietek,niebieski,Jacek Hugo-Bader,Biała gorączka,zbiór reportaży,7
49559559,2020-05-21 00:58:50,DJtomex,niebieski,"Andrzej Chwalba, Wojciech Harpula",Zwrotnice dziejów. Alternatywne historie Polski.,"publicystyka historyczna, wywiad",8
49521343,2020-05-19 10:27:13,panpikuss,niebieski,John Birmingham,Wybór celów,s-f,6
49514693,2020-05-18 23:16:45,lsamuel,niebieski,Wojciech Chmielarz,Rana,Kryminał.,7
49514119,2020-05-18 22:55:00,Noxgate,niebieski,Jo Nesbø.,Czerwone gardło.,Kryminał.,8
49488611,2020-05-17 20:22:22,kulfon_wulkanizator,niebieski,Neal Stephenson,Śnieżyca,Cyberpunk,7
49483653,2020-05-17 18:05:30,Vivec,,Michael Flynn,cykl Firestar,Fantastyka naukowa,9
49482107,2020-05-17 16:39:19,ialath,niebieski,MIchael Chabon,Niesamowite przygody Kavaliera i Claya,literatura piękna,6
49481795,2020-05-17 16:17:08,Katsukyun,niebieski,Andrzej Sapkowski,Miecz przeznaczenia,fantasy,8
49479293,2020-05-17 13:50:13,Zaff,różowy,James Dashner,"Więzień Labiryntu, Próby Ognia, Lek na Śmierć",fantastyka młodzieżowa,5
49478777,2020-05-17 13:20:18,konik_polanowy,niebieski,Wojciech Jaruzelski,Pod prąd. Refleksje rocznicowe,historia,7
49477883,2020-05-17 12:34:51,Tosiek14,niebieski,John Steinbeck,Ksieżyc zaszedł. W niepewnym boju,Powieści,7
49457145,2020-05-16 14:46:57,Dziadekmietek,niebieski,Gustav Meyrink,Golem,"powieść egzystencjalistyczna (xD), powieść grozy",4
49457145,2020-05-16 14:46:57,Dziadekmietek,niebieski,John Steinbeck,Myszy i ludzie,nowela,8
49453111,2020-05-16 09:58:56,TeczkiUkladyAgentury,niebieski,Roman Dmowski,Myśli nowoczesnego Polaka,esej polityczny,
49437621,2020-05-15 16:49:31,mozgogrdyczka,różowy,Janina Bąk,"Statystycznie rzecz biorąc, czyli ile trzeba zjeść czekolady, żeby dostać Nobla?",literatura popularnonaukowa,10
49437621,2020-05-15 16:49:31,mozgogrdyczka,różowy,Jacek Dukaj,Starość Aksolotla,sci-fi,9
49437621,2020-05-15 16:49:31,mozgogrdyczka,różowy,Robert M. Wegner,Opowieści z Meekhańskiego Pogranicza. Północ-południe.,fantasy,10
49418483,2020-05-14 20:04:12,konik_polanowy,niebieski,Bernd Ingmar Gutberlet,50 największych kłamstw i legend w historii świata,folia,1
